Poço,Bacia,COT,S1,S2,S3,Tmax,HI,OI
1-RV-1D-AL          ,Alagoas,5.21,0.47,26.23,1.45,420.0,503.45,27.83
1-RV-1D-AL          ,Alagoas,3.7,0.17,9.98,1.23,424.0,269.73,33.24
1-RV-1D-AL          ,Alagoas,2.47,0.17,6.01,0.84,424.0,243.32,34.01
1-RV-1D-AL          ,Alagoas,4.48,0.41,19.94,1.19,423.0,445.09,26.56
1-RV-1D-AL          ,Alagoas,4.7,0.23,13.68,1.41,427.0,291.06,30.0
1-RV-1D-AL          ,Alagoas,2.32,0.08,2.61,0.89,430.0,112.5,38.36
1-RV-1D-AL          ,Alagoas,2.29,0.08,2.81,0.91,430.0,122.71,39.74
1-RV-1D-AL          ,Alagoas,2.11,0.14,4.85,0.85,426.0,229.86,40.28
1-RV-1D-AL          ,Alagoas,2.2,0.11,3.73,0.91,428.0,169.55,41.36
1-RV-1D-AL          ,Alagoas,1.48,0.04,1.23,0.81,431.0,83.11,54.73
1-RV-1D-AL          ,Alagoas,2.01,0.05,1.69,0.97,430.0,84.08,48.26
1-RV-1D-AL          ,Alagoas,2.78,0.24,8.23,1.03,421.0,296.04,37.05
1-RV-1D-AL          ,Alagoas,2.96,0.58,12.81,0.88,416.0,432.77,29.73
1-RV-1D-AL          ,Alagoas,2.64,0.55,10.9,0.85,417.0,412.88,32.2
1-RV-1D-AL          ,Alagoas,1.68,0.32,6.55,0.76,420.0,389.88,45.24
1-RV-1D-AL          ,Alagoas,1.86,0.66,8.04,0.87,415.0,432.26,46.77
1-RV-1D-AL          ,Alagoas,4.04,1.83,24.86,1.02,420.0,615.35,25.25
1-RV-1D-AL          ,Alagoas,3.8,1.92,23.65,1.04,419.0,622.37,27.37
1-RV-1D-AL          ,Alagoas,2.22,0.65,10.37,0.84,416.0,467.12,37.84
1-RV-1D-AL          ,Alagoas,1.56,0.17,4.24,0.72,421.0,271.79,46.15
1-RV-1D-AL          ,Alagoas,2.85,0.89,15.08,0.97,416.0,529.12,34.04
1-RV-1D-AL          ,Alagoas,1.64,0.37,5.98,0.78,419.0,364.63,47.56
