Bacia,Poço,COT,S1,S2,S3,Tmax,HI,OI
Alagoas,7-PIR-184D-AL       ,1.6,0.82,8.17,1.26,436.0,510.62,78.75
Alagoas,7-PIR-184D-AL       ,1.49,0.69,6.79,1.22,432.0,455.7,81.88
Alagoas,7-PIR-184D-AL       ,1.37,0.7,8.02,1.26,435.0,585.4,91.97
Alagoas,7-PIR-184D-AL       ,1.13,0.68,6.51,1.3,436.0,576.11,115.04
Alagoas,7-PIR-184D-AL       ,1.62,0.87,9.34,1.45,432.0,576.54,89.51
Alagoas,7-PIR-184D-AL       ,1.67,0.79,8.42,1.33,435.0,504.19,79.64
Alagoas,7-PIR-184D-AL       ,2.16,0.93,9.18,1.37,429.0,425.0,63.43
Alagoas,7-PIR-184D-AL       ,1.52,0.64,7.58,1.26,433.0,498.68,82.89
Alagoas,7-PIR-184D-AL       ,1.75,0.79,8.8,1.34,433.0,502.86,76.57
Alagoas,7-PIR-184D-AL       ,1.54,0.78,7.57,1.23,430.0,491.56,79.87
Alagoas,7-PIR-184D-AL       ,1.72,0.85,9.48,1.34,432.0,551.16,77.91
Alagoas,7-PIR-184D-AL       ,1.34,0.9,9.11,1.32,434.0,679.85,98.51
Alagoas,7-PIR-184D-AL       ,1.06,0.54,6.24,1.3,437.0,588.68,122.64
Alagoas,7-PIR-184D-AL       ,1.0,0.57,6.9,1.21,435.0,690.0,121.0
Alagoas,7-PIR-184D-AL       ,2.12,1.04,10.52,1.42,430.0,496.23,66.98
Alagoas,7-PIR-184D-AL       ,1.92,0.95,10.14,1.41,434.0,528.13,73.44
Alagoas,7-PIR-184D-AL       ,1.49,0.71,8.28,1.28,431.0,555.7,85.91
Alagoas,7-PIR-184D-AL       ,1.83,0.88,8.87,1.23,432.0,484.7,67.21
Alagoas,7-PIR-184D-AL       ,2.05,1.08,10.65,1.51,434.0,519.51,73.66
Alagoas,7-PIR-184D-AL       ,1.36,0.69,7.27,1.25,432.0,534.56,91.91
Alagoas,7-PIR-184D-AL       ,1.61,0.75,9.29,1.88,430.0,577.02,116.77
Alagoas,7-PIR-184D-AL       ,1.91,0.96,11.49,2.14,429.0,601.57,112.04
Alagoas,7-PIR-184D-AL       ,0.78,0.41,3.92,0.89,430.0,502.56,114.1
Alagoas,7-PIR-184D-AL       ,0.78,0.41,3.9,0.95,431.0,500.0,121.79
Alagoas,7-PIR-184D-AL       ,1.55,1.05,9.94,1.41,431.0,641.29,90.97
Alagoas,7-PIR-184D-AL       ,1.65,1.17,7.43,1.7,433.0,450.3,103.03
Alagoas,7-PIR-184D-AL       ,1.74,1.3,7.97,1.68,433.0,458.05,96.55
Alagoas,7-PIR-184D-AL       ,1.3,0.88,7.05,1.77,431.0,542.31,136.15
