Nome,Bacia,LAMINA_DAGUA,LATITUDE,LONGITUDE
1-ALS-1-AL,Alagoas,23.2,"-9,9677238888","-35,9107091666"
1-ALS-2-AL,Alagoas,21.4,"-9,7132472222","-35,6757694444"
1-ALS-3-AL,Alagoas,36,"-10,1216527777","-35,9315641666"
1-ALS-4-AL,Alagoas,21,"-10,4234622222","-36,1709255555"
1-ALS-6-AL,Alagoas,46,"-9,5953469444","-35,2213819444"
1-ALS-9-AL,Alagoas,17,"-10,3088241666","-36,1719772222"
1-ALS-10-AL,Sergipe,20,"-10,4064741666","-36,2333783333"
1-ALS-11-AL,Alagoas,12,"-10,2385636111","-36,1543330555"
1-ALS-15-AL,Sergipe,23.8,"-10,5754752777","-36,3323586111"
1-ALS-16-AL,Alagoas,33,"-9,6417569444","-35,4439805555"
1-ALS-17-AL,Alagoas,34,"-9,5830877777","-35,3174422222"
1-ALS-18-AL,Alagoas,27,"-10,1228080555","-35,9403577777"
1-ALS-20-AL,Alagoas,32.3,"-9,4116858333","-35,2184627777"
1-ALS-23-AL,Alagoas,25,"-10,3681713888","-36,0847916666"
1-ALS-24-AL,Alagoas,22,"-10,2551627777","-36,0776686111"
1-ALS-25-AL,Alagoas,19,"-10,2804722222","-36,1287972222"
1-BAS-34-BA,Rec�ncavo,13,"-12,8477475","-38,60776"
1-BAS-43-BA,Rec�ncavo,21,"-12,7876644444","-38,6811408333"
1-BAS-59-BAS,Mucuri,13.7,"-18,1033252777","-39,4094786111"
1-BAS-60-BAS,Mucuri,19,"-18,2571008333","-39,4692541666"
1-BAS-85-BAS,Esp�ritoSanto,18,"-18,3778294444","-39,5249466666"
1-BRSA-3-RNS,Potiguar,51.2,"-4,7759886111","-36,4135383333"
1-BRSA-50-ESS,Esp�ritoSanto,789,"-19,6199188888","-39,0326852777"
1-BRSA-67-ESS,Esp�ritoSanto,1275,"-19,8550002777","-39,3120913888"
1-BRSA-78-ESS,Esp�ritoSanto,22.5,"-19,18939","-39,4476558333"
1-BRSA-132-ALS,Alagoas,28,"-10,3049455555","-36,0511980555"
1-BRSA-136-ESS,Esp�ritoSanto,1710,"-20,1309302777","-39,3988972222"
1-BRSA-186-ESS,Esp�ritoSanto,2005,"-20,6218127777","-39,5113247222"
1-BRSA-535A-ESS,Esp�ritoSanto,1648,"-20,4203252777","-39,6264502777"
1-BRSA-682-ESS,Esp�ritoSanto,1798,"-20,3564994444","-39,49629"
1-BRSA-683-ESS,Esp�ritoSanto,1723,"-20,037655","-39,2531283333"
1-BRSA-735-ESS,Esp�ritoSanto,1607,"-20,5323469444","-39,7071816666"
1-BRSA-1013-SES,Sergipe,1520,"-11,2810416666","-36,8269275"
1-CES-108-CE,Potiguar,21,"-3,8541619444","-37,7763872222"
1-CES-114A-CE,Potiguar,52,"-3,8345372222","-37,6885325"
1-CES-117-CE,Potiguar,35,"-4,4282083333","-37,1436544444"
1-CES-120-CE,Potiguar,32,"-4,5095022222","-37,0478788888"
1-CES-121-CE,Potiguar,1087,"-3,8495283333","-37,5117766666"
1-RNS-2-RN,Potiguar,20.7,"-4,8018988888","-36,5071036111"
1-RNS-5-RN,Potiguar,13,"-4,9461425","-36,1647363888"
1-RNS-16-RN,Potiguar,26,"-4,8427508333","-36,6276305555"
1-RNS-17-RN,Potiguar,26,"-4,8691636111","-36,2075791666"
1-RNS-19-RN,Potiguar,31,"-4,8443133333","-35,58601"
1-RNS-23-RN,Potiguar,33,"-4,607415","-36,8957905555"
1-RNS-24-RN,Potiguar,27.5,"-4,7442033333","-36,6137211111"
1-RNS-28-RNS,Potiguar,18,"-4,7503558333","-36,8309741666"
1-RNS-71-RNS,Potiguar,17,"-4,8933102777","-36,4514691666"
1-RNS-93-RNS,Potiguar,21,"-4,6801647222","-36,8592413888"
3-BRSA-237-ESS,Esp�ritoSanto,1380,"-20,0054552777","-39,5357213888"
3-UB-12-RNS,Potiguar,11,"-4,8987152777","-36,4099422222"
3-UB-22-RNS,Potiguar,21.6,"-4,8994877777","-36,4512733333"
3-UB-25-RNS,Potiguar,12,"-4,9518416666","-36,3639411111"
4-BRSA-249-ESS,Esp�ritoSanto,1440,"-20,0528230555","-39,5017633333"
4-BRSA-265-ESS,Esp�ritoSanto,1608,"-20,0182533333","-39,3167327777"
4-SES-17-SE,Sergipe,36,"-11,1887672222","-36,9614516666"
4-SES-44-SE,Sergipe,27,"-11,0112233333","-36,9180916666"
6-ALS-36-AL,Sergipe,19,"-10,3980377777","-36,2469766666"
6-BRSA-486-ESS,Esp�ritoSanto,788,"-19,9085480555","-39,6174788888"
6-BRSA-505P-ESS,Esp�ritoSanto,1401,"-20,0221427777","-39,5484936111"
6-CM-36-SES,Sergipe,12.2,"-11,0153486111","-37,0222763888"
6-CM-37-SES,Sergipe,18,"-11,01366","-36,9884772222"
7-GA-36-SES,Sergipe,24,"-11,1317888888","-37,0476897222"
