Poço,Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
1-BRSA-132-ALS,802.00,0.51,,,,,,,
1-BRSA-132-ALS,820.00,0.96,,,,,,,
1-BRSA-132-ALS,838.00,0.90,,,,,,,
1-BRSA-132-ALS,856.00,1.07,0.35,2.43,1.83,433.00,,227.10,171.03
1-BRSA-132-ALS,874.00,0.97,,,,,,,
1-BRSA-132-ALS,892.00,0.91,,,,,,,
1-BRSA-132-ALS,910.00,1.06,0.54,2.63,1.64,434.00,,248.11,154.72
1-BRSA-132-ALS,928.00,1.16,0.34,3.67,1.59,438.00,,316.38,137.07
1-BRSA-132-ALS,946.00,1.24,0.41,4.06,1.78,437.00,,327.42,143.55
1-BRSA-132-ALS,964.00,1.17,0.47,3.64,1.74,437.00,,311.11,148.72
1-BRSA-132-ALS,982.00,1.23,0.40,3.86,1.71,438.00,,313.82,139.02
1-BRSA-132-ALS,1000.00,1.20,0.39,3.40,1.63,437.00,,283.33,135.83
1-BRSA-132-ALS,1018.00,1.35,0.32,3.70,2.03,436.00,,274.07,150.37
1-BRSA-132-ALS,1036.00,1.32,0.42,3.71,1.96,437.00,,281.06,148.48
1-BRSA-132-ALS,1054.00,1.31,1.12,3.35,1.99,437.00,,255.73,151.91
1-BRSA-132-ALS,1072.00,1.19,0.30,3.17,1.66,437.00,,266.39,139.50
1-BRSA-132-ALS,1090.00,1.09,0.63,3.76,1.87,438.00,,344.95,171.56
1-BRSA-132-ALS,1108.00,0.81,,,,,,,
1-BRSA-132-ALS,1126.00,1.03,0.25,3.41,1.42,438.00,,331.07,137.86
1-BRSA-132-ALS,1144.00,1.09,0.49,3.82,1.55,437.00,,350.46,142.20
1-BRSA-132-ALS,1162.00,1.10,0.45,3.47,1.47,438.00,,315.45,133.64
1-BRSA-132-ALS,1180.00,1.45,0.56,4.45,1.79,435.00,,306.90,123.45
1-BRSA-132-ALS,1198.00,1.24,0.77,3.95,1.73,437.00,,318.55,139.52
1-BRSA-132-ALS,1216.00,1.26,0.62,3.88,1.54,438.00,,307.94,122.22
1-BRSA-132-ALS,1234.00,1.29,0.40,4.12,1.45,437.00,,319.38,112.40
1-BRSA-132-ALS,1252.00,1.28,0.66,4.03,1.52,437.00,,314.84,118.75
1-BRSA-132-ALS,1270.00,1.39,0.51,5.02,1.43,438.00,,361.15,102.88
1-BRSA-132-ALS,1288.00,1.43,0.58,4.52,1.25,438.00,,316.08,87.41
1-BRSA-132-ALS,1306.00,1.24,0.30,4.12,1.65,438.00,,332.26,133.06
1-BRSA-132-ALS,1324.00,1.50,0.44,4.46,1.58,437.00,,297.33,105.33
1-BRSA-132-ALS,1342.00,1.33,0.43,4.18,1.42,437.00,,314.29,106.77
1-BRSA-132-ALS,1360.00,1.37,0.37,4.16,1.32,437.00,,303.65,96.35
1-BRSA-132-ALS,1378.00,1.77,0.53,4.94,1.78,436.00,,279.10,100.57
1-BRSA-132-ALS,1396.00,1.46,0.46,3.96,1.65,436.00,,271.23,113.01
1-BRSA-132-ALS,1414.00,1.36,0.51,3.93,1.49,437.00,,288.97,109.56
1-BRSA-132-ALS,1432.00,1.39,0.44,4.28,1.65,437.00,,307.91,118.71
1-BRSA-132-ALS,1450.00,1.36,0.70,4.75,1.38,437.00,,349.26,101.47
1-BRSA-132-ALS,1468.00,1.23,0.56,3.59,1.95,439.00,,291.87,158.54
1-BRSA-132-ALS,1486.00,1.70,0.51,5.81,1.45,435.00,,341.76,85.29
1-BRSA-132-ALS,1504.00,1.53,0.50,5.14,1.53,437.00,,335.95,100.00
1-BRSA-132-ALS,1522.00,1.51,0.42,5.20,1.39,438.00,,344.37,92.05
1-BRSA-132-ALS,1540.00,1.06,0.81,3.03,1.22,438.00,,285.85,115.09
1-BRSA-132-ALS,1558.00,1.35,0.61,4.21,1.36,438.00,,311.85,100.74
1-BRSA-132-ALS,1576.00,1.37,0.46,3.78,1.37,439.00,,275.91,100.00
1-BRSA-132-ALS,1594.00,1.33,0.51,3.37,1.32,439.00,,253.38,99.25
1-BRSA-132-ALS,1612.00,1.16,0.44,3.78,1.53,438.00,,325.86,131.90
1-BRSA-132-ALS,1630.00,1.18,0.43,3.88,1.37,439.00,,328.81,116.10
1-BRSA-132-ALS,1648.00,1.09,0.44,3.08,1.49,437.00,,282.57,136.70
1-BRSA-132-ALS,1702.00,1.27,0.44,4.37,1.15,437.00,,344.09,90.55
1-BRSA-132-ALS,1720.00,1.31,0.46,3.85,1.21,439.00,,293.89,92.37
1-BRSA-132-ALS,1738.00,1.06,0.45,3.73,1.30,439.00,,351.89,122.64
1-BRSA-132-ALS,1756.00,1.07,0.40,3.93,1.22,439.00,,367.29,114.02
1-BRSA-132-ALS,1774.00,0.83,,,,,,,
1-BRSA-132-ALS,1792.00,0.92,,,,,,,
1-BRSA-132-ALS,1810.00,0.91,,,,,,,
1-BRSA-132-ALS,1828.00,0.93,,,,,,,
1-BRSA-132-ALS,1846.00,0.89,,,,,,,
1-BRSA-132-ALS,1864.00,0.70,,,,,,,
1-BRSA-132-ALS,1882.00,0.77,,,,,,,
1-BRSA-132-ALS,1900.00,1.02,0.54,2.97,1.13,439.00,,291.18,110.78
1-BRSA-132-ALS,1918.00,1.19,0.40,3.16,1.37,439.00,,265.55,115.13
1-BRSA-132-ALS,1936.00,1.08,0.40,3.04,1.09,436.00,,281.48,100.93
1-BRSA-132-ALS,1954.00,0.98,0.37,2.65,1.17,436.00,,270.41,119.39
1-BRSA-132-ALS,1972.00,0.94,,,,,,,
1-BRSA-132-ALS,1990.00,0.93,,,,,,,
1-BRSA-132-ALS,2008.00,0.80,,,,,,,
1-BRSA-132-ALS,2026.00,0.88,,,,,,,
1-BRSA-132-ALS,2044.00,0.84,,,,,,,
1-BRSA-132-ALS,2062.00,0.79,,,,,,,
1-BRSA-132-ALS,2080.00,1.13,0.49,3.37,1.21,439.00,,298.23,107.08
1-BRSA-132-ALS,2098.00,0.97,,,,,,,
1-BRSA-132-ALS,2116.00,1.00,0.39,2.46,1.01,438.00,,246.00,101.00
1-BRSA-132-ALS,2134.00,1.25,0.48,3.36,1.26,439.00,,268.80,100.80
1-BRSA-132-ALS,2152.00,1.09,0.46,3.58,1.08,435.00,,328.44,99.08
1-BRSA-132-ALS,2170.00,0.95,,,,,,,
1-BRSA-132-ALS,2188.00,0.98,0.40,2.91,1.08,440.00,,296.64,110.09
1-BRSA-132-ALS,2206.00,1.10,0.41,3.00,1.06,439.00,,272.73,96.36
1-BRSA-132-ALS,2224.00,1.21,0.27,2.47,1.46,440.00,,204.13,120.66
1-BRSA-132-ALS,2242.00,1.15,0.30,2.49,1.04,441.00,,216.52,90.43
1-BRSA-132-ALS,2260.00,1.27,0.37,3.67,1.22,440.00,,288.98,96.06
1-BRSA-132-ALS,2278.00,1.12,0.31,3.00,0.84,441.00,,267.86,75.00
1-BRSA-132-ALS,2296.00,1.21,0.52,3.65,1.12,441.00,,301.65,92.56
1-BRSA-132-ALS,2350.00,1.20,0.41,3.44,1.14,441.00,,286.67,95.00
1-BRSA-132-ALS,2368.00,1.12,0.39,4.01,1.19,441.00,,358.04,106.25
1-BRSA-132-ALS,2458.00,2.59,0.77,6.58,1.84,443.00,,254.05,71.04
1-BRSA-132-ALS,2476.00,1.85,0.94,5.77,1.89,443.00,,311.89,102.16
1-BRSA-132-ALS,2512.00,0.89,,,,,,,
1-BRSA-132-ALS,2566.00,0.79,,,,,,,
1-BRSA-132-ALS,2584.00,0.69,,,,,,,
1-BRSA-50-ESS,1811.00,1.66,0.63,2.28,2.68,423.00,,137.35,161.45
1-BRSA-50-ESS,1829.00,1.84,1.44,3.28,3.20,423.00,,178.26,173.91
1-BRSA-50-ESS,1847.00,1.29,0.78,1.87,2.93,417.00,,144.96,227.13
1-BRSA-50-ESS,1865.00,1.36,0.97,2.18,2.98,420.00,,160.29,219.12
1-BRSA-50-ESS,1883.00,1.17,0.58,1.71,2.36,424.00,,146.15,201.71
1-BRSA-50-ESS,1901.00,1.25,0.63,1.98,2.48,426.00,,158.40,198.40
1-BRSA-50-ESS,1919.00,1.25,0.47,1.93,2.68,429.00,,154.40,214.40
1-BRSA-50-ESS,1937.00,1.45,0.76,2.21,3.04,429.00,,152.41,209.66
